Frame,Person,Keypoint,X,Y
344,0,6,tensor(1060.8105),tensor(132.6700)
344,0,7,tensor(1195.7601),tensor(580.5278)
344,0,8,tensor(968.0724),tensor(467.2587)
344,0,9,tensor(846.6897),tensor(645.7352)
344,0,10,tensor(716.7583),tensor(546.3607)
344,0,11,tensor(1176.2467),tensor(720.)
344,0,12,tensor(1054.0529),tensor(720.)
344,0,13,tensor(928.5647),tensor(684.0549)
344,0,14,tensor(778.5394),tensor(634.1888)
344,0,15,tensor(930.1510),tensor(720.)
344,0,16,tensor(856.0754),tensor(673.9666)
345,0,0,tensor(968.1072),tensor(25.3383)
345,0,1,tensor(987.9523),tensor(0.)
345,0,2,tensor(968.6199),tensor(0.)
345,0,3,tensor(1088.1482),tensor(0.)
345,0,4,tensor(1030.1910),tensor(0.)
345,0,5,tensor(1235.7422),tensor(141.8548)
345,0,6,tensor(1062.4138),tensor(123.7603)
345,0,7,tensor(1197.7822),tensor(577.4769)
345,0,8,tensor(969.6148),tensor(456.7301)
